timestamp,open,high,low,close
1277573100000,1254.82,1254.82,1254.82,1254.82
1277573160000,1254.82,1254.82,1254.82,1254.82
1277573220000,1254.82,1254.82,1254.82,1254.82
1277573280000,1254.82,1254.82,1254.82,1254.82
1277573340000,1254.82,1254.82,1254.82,1254.82
1277573400000,1254.82,1254.82,1254.82,1254.82
1277573460000,1254.82,1254.82,1254.82,1254.82
1277573520000,1254.82,1254.82,1254.82,1254.82
1277573580000,1254.82,1254.82,1254.82,1254.82
1277573640000,1254.82,1254.82,1254.82,1254.82
1277573700000,1254.82,1254.82,1254.82,1254.82
1277573760000,1254.82,1254.82,1254.82,1254.82
1277573820000,1254.82,1254.82,1254.82,1254.82
1277573880000,1254.82,1254.82,1254.82,1254.82
1277573940000,1254.82,1254.82,1254.82,1254.82
1277574000000,1254.82,1254.82,1254.82,1254.82
1277574060000,1254.82,1254.82,1254.82,1254.82
1277574120000,1254.82,1254.82,1254.82,1254.82
1277574180000,1254.82,1254.82,1254.82,1254.82
1277574240000,1254.82,1254.82,1254.82,1254.82
1277574300000,1254.82,1254.82,1254.82,1254.82
1277574360000,1254.82,1254.82,1254.82,1254.82
1277574420000,1254.82,1254.82,1254.82,1254.82
1277574480000,1254.82,1254.82,1254.82,1254.82
1277574540000,1254.82,1254.82,1254.82,1254.82
1277574600000,1254.82,1254.82,1254.82,1254.82
1277574660000,1254.82,1254.82,1254.82,1254.82
1277574720000,1254.82,1254.82,1254.82,1254.82
1277574780000,1254.82,1254.82,1254.82,1254.82
1277574840000,1254.82,1254.82,1254.82,1254.82
1277574900000,1254.82,1254.82,1254.82,1254.82
1277574960000,1254.82,1254.82,1254.82,1254.82
1277575020000,1254.82,1254.82,1254.82,1254.82
1277575080000,1254.82,1254.82,1254.82,1254.82
1277575140000,1254.82,1254.82,1254.82,1254.82
1277575200000,1254.82,1254.82,1254.82,1254.82
1277575260000,1254.82,1254.82,1254.82,1254.82
1277575320000,1254.82,1254.82,1254.82,1254.82
1277575380000,1254.82,1254.82,1254.82,1254.82
1277575440000,1254.82,1254.82,1254.82,1254.82
1277575500000,1254.82,1254.82,1254.82,1254.82
1277575560000,1254.82,1254.82,1254.82,1254.82
1277575620000,1254.82,1254.82,1254.82,1254.82
1277575680000,1254.82,1254.82,1254.82,1254.82
1277575740000,1254.82,1254.82,1254.82,1254.82
1277575800000,1254.82,1254.82,1254.82,1254.82
1277575860000,1254.82,1254.82,1254.82,1254.82
1277575920000,1254.82,1254.82,1254.82,1254.82
1277575980000,1254.82,1254.82,1254.82,1254.82
1277576040000,1254.82,1254.82,1254.82,1254.82
1277576100000,1254.82,1254.82,1254.82,1254.82
1277576160000,1254.82,1254.82,1254.82,1254.82
1277576220000,1254.82,1254.82,1254.82,1254.82
1277576280000,1254.82,1254.82,1254.82,1254.82
1277576340000,1254.82,1254.82,1254.82,1254.82
1277576400000,1254.82,1254.82,1254.82,1254.82
1277576460000,1254.82,1254.82,1254.82,1254.82
1277576520000,1254.82,1254.82,1254.82,1254.82
1277576580000,1254.82,1254.82,1254.82,1254.82
1277576640000,1254.82,1254.82,1254.82,1254.82
1277576700000,1254.82,1254.82,1254.82,1254.82
1277576760000,1254.82,1254.82,1254.82,1254.82
1277576820000,1254.82,1254.82,1254.82,1254.82
1277576880000,1254.82,1254.82,1254.82,1254.82
1277576940000,1254.82,1254.82,1254.82,1254.82
1277577000000,1254.82,1254.82,1254.82,1254.82
1277577060000,1254.82,1254.82,1254.82,1254.82
1277577120000,1254.82,1254.82,1254.82,1254.82
